pkl_name,dataset,erro_medio_regressor
moss_ns100_np20_nm3_nc10.pkl,balance.1,0.03829228070175431
moss_ns100_np20_nm3_nc10.pkl,balance.3,0.03154614035087704
moss_ns100_np20_nm3_nc10.pkl,breast-cancer,0.031936666666666634
moss_ns100_np20_nm3_nc10.pkl,cmc.1,0.28263728070175437
moss_ns100_np20_nm3_nc10.pkl,cmc.2,0.4287912280701755
moss_ns100_np20_nm3_nc10.pkl,cmc.3,0.37809333333333334
moss_ns100_np20_nm3_nc10.pkl,ctg.1,0.09031719298245641
moss_ns100_np20_nm3_nc10.pkl,ctg.2,0.13739456140350872
moss_ns100_np20_nm3_nc10.pkl,ctg.3,0.0711446491228069
moss_ns100_np20_nm3_nc10.pkl,german,0.2835980701754377
moss_ns100_np20_nm3_nc10.pkl,haberman,0.4517561403508773
moss_ns100_np20_nm3_nc10.pkl,ionosphere,0.0444726315789473
moss_ns100_np20_nm3_nc10.pkl,iris.2,0.03910552631578947
moss_ns100_np20_nm3_nc10.pkl,iris.3,0.023964649122807
moss_ns100_np20_nm3_nc10.pkl,mammographic,0.09864614035087733
moss_ns100_np20_nm3_nc10.pkl,pageblocks.5,0.27005008771929817
moss_ns100_np20_nm3_nc10.pkl,semeion,0.16057500000000008
moss_ns100_np20_nm3_nc10.pkl,sonar,0.2616197368421053
moss_ns100_np20_nm3_nc10.pkl,spambase,0.03133359649122794
moss_ns100_np20_nm3_nc10.pkl,spectf,0.17355245614035064
moss_ns100_np20_nm3_nc10.pkl,tictactoe,0.06965763157894743
moss_ns100_np20_nm3_nc10.pkl,transfusion,0.392222105263158
moss_ns100_np20_nm3_nc10.pkl,wdbc,0.042779210526315635
moss_ns100_np20_nm3_nc10.pkl,wine.1,0.03686833333333341
moss_ns100_np20_nm3_nc10.pkl,wine.2,0.025123596491228018
moss_ns100_np20_nm3_nc10.pkl,wine.3,0.04236500000000004
moss_ns100_np20_nm3_nc10.pkl,wine-q-red,0.056741052631579116
moss_ns100_np20_nm3_nc10.pkl,wine-q-white,0.14196377192982498
moss_ns100_np20_nm3_nc10.pkl,yeast,0.3788026315789475
moss_ns100_np20_nm3_nc100.pkl,balance.1,0.035495964912280575
moss_ns100_np20_nm3_nc100.pkl,balance.3,0.034695087719298114
moss_ns100_np20_nm3_nc100.pkl,breast-cancer,0.04260877192982441
moss_ns100_np20_nm3_nc100.pkl,cmc.1,0.28090157894736834
moss_ns100_np20_nm3_nc100.pkl,cmc.2,0.43018271929824575
moss_ns100_np20_nm3_nc100.pkl,cmc.3,0.38134631578947376
moss_ns100_np20_nm3_nc100.pkl,ctg.1,0.09702500000000029
moss_ns100_np20_nm3_nc100.pkl,ctg.2,0.15042394736842085
moss_ns100_np20_nm3_nc100.pkl,ctg.3,0.07481192982456122
moss_ns100_np20_nm3_nc100.pkl,german,0.2786907894736833
moss_ns100_np20_nm3_nc100.pkl,haberman,0.45180412280701776
moss_ns100_np20_nm3_nc100.pkl,ionosphere,0.042032719298245654
moss_ns100_np20_nm3_nc100.pkl,iris.2,0.03654596491228078
moss_ns100_np20_nm3_nc100.pkl,iris.3,0.027424649122807
moss_ns100_np20_nm3_nc100.pkl,mammographic,0.08631236842105278
moss_ns100_np20_nm3_nc100.pkl,pageblocks.5,0.255349298245614
moss_ns100_np20_nm3_nc100.pkl,semeion,0.16028921052631587
moss_ns100_np20_nm3_nc100.pkl,sonar,0.2553308771929825
moss_ns100_np20_nm3_nc100.pkl,spambase,0.03313403508771905
moss_ns100_np20_nm3_nc100.pkl,spectf,0.17353543859649095
moss_ns100_np20_nm3_nc100.pkl,tictactoe,0.07120701754385973
moss_ns100_np20_nm3_nc100.pkl,transfusion,0.39029008771929835
moss_ns100_np20_nm3_nc100.pkl,wdbc,0.03837377192982433
moss_ns100_np20_nm3_nc100.pkl,wine.1,0.030605087719298332
moss_ns100_np20_nm3_nc100.pkl,wine.2,0.02576745614035077
moss_ns100_np20_nm3_nc100.pkl,wine.3,0.045553070175438595
moss_ns100_np20_nm3_nc100.pkl,wine-q-red,0.06522745614035101
moss_ns100_np20_nm3_nc100.pkl,wine-q-white,0.13430447368421095
moss_ns100_np20_nm3_nc100.pkl,yeast,0.35055368421052635
moss_ns100_np20_nm6_nc10.pkl,balance.1,0.04538745614035096
moss_ns100_np20_nm6_nc10.pkl,balance.3,0.043373859649123
moss_ns100_np20_nm6_nc10.pkl,breast-cancer,0.035937456140350744
moss_ns100_np20_nm6_nc10.pkl,cmc.1,0.2808669298245612
moss_ns100_np20_nm6_nc10.pkl,cmc.2,0.4126376315789475
moss_ns100_np20_nm6_nc10.pkl,cmc.3,0.40999956140350874
moss_ns100_np20_nm6_nc10.pkl,ctg.1,0.09434999999999966
moss_ns100_np20_nm6_nc10.pkl,ctg.2,0.13839008771929823
moss_ns100_np20_nm6_nc10.pkl,ctg.3,0.07764578947368425
moss_ns100_np20_nm6_nc10.pkl,german,0.3534896491228075
moss_ns100_np20_nm6_nc10.pkl,haberman,0.44812166666666675
moss_ns100_np20_nm6_nc10.pkl,ionosphere,0.05201482456140364
moss_ns100_np20_nm6_nc10.pkl,iris.2,0.030758684210526032
moss_ns100_np20_nm6_nc10.pkl,iris.3,0.02604561403508777
moss_ns100_np20_nm6_nc10.pkl,mammographic,0.0896336842105263
moss_ns100_np20_nm6_nc10.pkl,pageblocks.5,0.2526532456140351
moss_ns100_np20_nm6_nc10.pkl,semeion,0.16654780701754388
moss_ns100_np20_nm6_nc10.pkl,sonar,0.2661591228070176
moss_ns100_np20_nm6_nc10.pkl,spambase,0.038049385964912266
moss_ns100_np20_nm6_nc10.pkl,spectf,0.1965622807017545
moss_ns100_np20_nm6_nc10.pkl,tictactoe,0.07081728070175443
moss_ns100_np20_nm6_nc10.pkl,transfusion,0.3546342105263158
moss_ns100_np20_nm6_nc10.pkl,wdbc,0.05265236842105278
moss_ns100_np20_nm6_nc10.pkl,wine.1,0.03163307017543852
moss_ns100_np20_nm6_nc10.pkl,wine.2,0.025390350877193203
